Targeting Code	Price (CPM)	Full Name	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Description	Updated Description
FDCCDNY15	$1.50	Political > US Congressional Districts > New York > New York 15th Congressional District (NY-15)	Factual	Geopulse Audiences	Political	US Congressional Districts	New York	New York 15th Congressional District (NY-15)		People who live in the New York 15th Congressional District (NY-15)	
FDCCDNY14	$1.50	Political > US Congressional Districts > New York > New York 14th Congressional District (NY-14)	Factual	Geopulse Audiences	Political	US Congressional Districts	New York	New York 14th Congressional District (NY-14)		People who live in the New York 14th Congressional District (NY-14)	
FDCCDNY13	$1.50	Political > US Congressional Districts > New York > New York 13th Congressional District (NY-13)	Factual	Geopulse Audiences	Political	US Congressional Districts	New York	New York 13th Congressional District (NY-13)		People who live in the New York 13th Congressional District (NY-13)	
FDCCDNY12	$1.50	Political > US Congressional Districts > New York > New York 12th Congressional District (NY-12)	Factual	Geopulse Audiences	Political	US Congressional Districts	New York	New York 12th Congressional District (NY-12)		People who live in the New York 12th Congressional District (NY-12)	
FDCCDNY11	$1.50	Political > US Congressional Districts > New York > New York 11th Congressional District (NY-11)	Factual	Geopulse Audiences	Political	US Congressional Districts	New York	New York 11th Congressional District (NY-11)		People who live in the New York 11th Congressional District (NY-11)	
FDCCDNY10	$1.50	Political > US Congressional Districts > New York > New York 10th Congressional District (NY-10)	Factual	Geopulse Audiences	Political	US Congressional Districts	New York	New York 10th Congressional District (NY-10)		People who live in the New York 10th Congressional District (NY-10)	
FDCCDNY09	$1.50	Political > US Congressional Districts > New York > New York 9th Congressional District (NY-09)	Factual	Geopulse Audiences	Political	US Congressional Districts	New York	New York 9th Congressional District (NY-09)		People who live in the New York 9th Congressional District (NY-09)	
FDCCDNY08	$1.50	Political > US Congressional Districts > New York > New York 8th Congressional District (NY-08)	Factual	Geopulse Audiences	Political	US Congressional Districts	New York	New York 8th Congressional District (NY-08)		People who live in the New York 8th Congressional District (NY-08)	
FDCCDNY07	$1.50	Political > US Congressional Districts > New York > New York 7th Congressional District (NY-07)	Factual	Geopulse Audiences	Political	US Congressional Districts	New York	New York 7th Congressional District (NY-07)		People who live in the New York 7th Congressional District (NY-07)	
FDCCDNY06	$1.50	Political > US Congressional Districts > New York > New York 6th Congressional District (NY-06)	Factual	Geopulse Audiences	Political	US Congressional Districts	New York	New York 6th Congressional District (NY-06)		People who live in the New York 6th Congressional District (NY-06)	
FDCCDNY05	$1.50	Political > US Congressional Districts > New York > New York 5th Congressional District (NY-05)	Factual	Geopulse Audiences	Political	US Congressional Districts	New York	New York 5th Congressional District (NY-05)		People who live in the New York 5th Congressional District (NY-05)	
FDCCDNY04	$1.50	Political > US Congressional Districts > New York > New York 4th Congressional District (NY-04)	Factual	Geopulse Audiences	Political	US Congressional Districts	New York	New York 4th Congressional District (NY-04)		People who live in the New York 4th Congressional District (NY-04)	
FDCCDNY03	$1.50	Political > US Congressional Districts > New York > New York 3rd Congressional District (NY-03)	Factual	Geopulse Audiences	Political	US Congressional Districts	New York	New York 3rd Congressional District (NY-03)		People who live in the New York 3rd Congressional District (NY-03)	
FDCCDNY02	$1.50	Political > US Congressional Districts > New York > New York 2nd Congressional District (NY-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	New York	New York 2nd Congressional District (NY-02)		People who live in the New York 2nd Congressional District (NY-02)	
FDCCDNY01	$1.50	Political > US Congressional Districts > New York > New York 1st Congressional District (NY-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	New York	New York 1st Congressional District (NY-01)		People who live in the New York 1st Congressional District (NY-01)	
FDCCDNV04	$1.50	Political > US Congressional Districts > Nevada > Nevada 4th Congressional District (NV-04)	Factual	Geopulse Audiences	Political	US Congressional Districts	Nevada	Nevada 4th Congressional District (NV-04)		People who live in the Nevada 4th Congressional District (NV-04)	
FDCCDNV03	$1.50	Political > US Congressional Districts > Nevada > Nevada 3rd Congressional District (NV-03)	Factual	Geopulse Audiences	Political	US Congressional Districts	Nevada	Nevada 3rd Congressional District (NV-03)		People who live in the Nevada 3rd Congressional District (NV-03)	
FDCCDNV02	$1.50	Political > US Congressional Districts > Nevada > Nevada 2nd Congressional District (NV-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	Nevada	Nevada 2nd Congressional District (NV-02)		People who live in the Nevada 2nd Congressional District (NV-02)	
FDCCDNV01	$1.50	Political > US Congressional Districts > Nevada > Nevada 1st Congressional District (NV-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	Nevada	Nevada 1st Congressional District (NV-01)		People who live in the Nevada 1st Congressional District (NV-01)	
FDCCDNM03	$1.50	Political > US Congressional Districts > New Mexico > New Mexico 3rd Congressional District (NM-03)	Factual	Geopulse Audiences	Political	US Congressional Districts	New Mexico	New Mexico 3rd Congressional District (NM-03)		People who live in the New Mexico 3rd Congressional District (NM-03)	
FDCCDNM02	$1.50	Political > US Congressional Districts > New Mexico > New Mexico 2nd Congressional District (NM-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	New Mexico	New Mexico 2nd Congressional District (NM-02)		People who live in the New Mexico 2nd Congressional District (NM-02)	
FDCCDNM01	$1.50	Political > US Congressional Districts > New Mexico > New Mexico 1st Congressional District (NM-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	New Mexico	New Mexico 1st Congressional District (NM-01)		People who live in the New Mexico 1st Congressional District (NM-01)	
FDCCDNJ12	$1.50	Political > US Congressional Districts > New Jersey > New Jersey 12th Congressional District (NJ-12)	Factual	Geopulse Audiences	Political	US Congressional Districts	New Jersey	New Jersey 12th Congressional District (NJ-12)		People who live in the New Jersey 12th Congressional District (NJ-12)	
FDCCDNJ11	$1.50	Political > US Congressional Districts > New Jersey > New Jersey 11th Congressional District (NJ-11)	Factual	Geopulse Audiences	Political	US Congressional Districts	New Jersey	New Jersey 11th Congressional District (NJ-11)		People who live in the New Jersey 11th Congressional District (NJ-11)	
FDCCDNJ10	$1.50	Political > US Congressional Districts > New Jersey > New Jersey 10th Congressional District (NJ-10)	Factual	Geopulse Audiences	Political	US Congressional Districts	New Jersey	New Jersey 10th Congressional District (NJ-10)		People who live in the New Jersey 10th Congressional District (NJ-10)	
FDCCDNJ09	$1.50	Political > US Congressional Districts > New Jersey > New Jersey 9th Congressional District (NJ-09)	Factual	Geopulse Audiences	Political	US Congressional Districts	New Jersey	New Jersey 9th Congressional District (NJ-09)		People who live in the New Jersey 9th Congressional District (NJ-09)	
FDCCDNJ08	$1.50	Political > US Congressional Districts > New Jersey > New Jersey 8th Congressional District (NJ-08)	Factual	Geopulse Audiences	Political	US Congressional Districts	New Jersey	New Jersey 8th Congressional District (NJ-08)		People who live in the New Jersey 8th Congressional District (NJ-08)	
FDCCDNJ07	$1.50	Political > US Congressional Districts > New Jersey > New Jersey 7th Congressional District (NJ-07)	Factual	Geopulse Audiences	Political	US Congressional Districts	New Jersey	New Jersey 7th Congressional District (NJ-07)		People who live in the New Jersey 7th Congressional District (NJ-07)	
FDCCDNJ06	$1.50	Political > US Congressional Districts > New Jersey > New Jersey 6th Congressional District (NJ-06)	Factual	Geopulse Audiences	Political	US Congressional Districts	New Jersey	New Jersey 6th Congressional District (NJ-06)		People who live in the New Jersey 6th Congressional District (NJ-06)	
FDCCDNJ05	$1.50	Political > US Congressional Districts > New Jersey > New Jersey 5th Congressional District (NJ-05)	Factual	Geopulse Audiences	Political	US Congressional Districts	New Jersey	New Jersey 5th Congressional District (NJ-05)		People who live in the New Jersey 5th Congressional District (NJ-05)	
FDCCDNJ04	$1.50	Political > US Congressional Districts > New Jersey > New Jersey 4th Congressional District (NJ-04)	Factual	Geopulse Audiences	Political	US Congressional Districts	New Jersey	New Jersey 4th Congressional District (NJ-04)		People who live in the New Jersey 4th Congressional District (NJ-04)	
FDCCDNJ03	$1.50	Political > US Congressional Districts > New Jersey > New Jersey 3rd Congressional District (NJ-03)	Factual	Geopulse Audiences	Political	US Congressional Districts	New Jersey	New Jersey 3rd Congressional District (NJ-03)		People who live in the New Jersey 3rd Congressional District (NJ-03)	
FDCCDNJ02	$1.50	Political > US Congressional Districts > New Jersey > New Jersey 2nd Congressional District (NJ-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	New Jersey	New Jersey 2nd Congressional District (NJ-02)		People who live in the New Jersey 2nd Congressional District (NJ-02)	
FDCCDNJ01	$1.50	Political > US Congressional Districts > New Jersey > New Jersey 1st Congressional District (NJ-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	New Jersey	New Jersey 1st Congressional District (NJ-01)		People who live in the New Jersey 1st Congressional District (NJ-01)	
FDCCDNH02	$1.50	Political > US Congressional Districts > New Hampshire > New Hampshire 2nd Congressional District (NH-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	New Hampshire	New Hampshire 2nd Congressional District (NH-02)		People who live in the New Hampshire 2nd Congressional District (NH-02)	
FDCCDNH01	$1.50	Political > US Congressional Districts > New Hampshire > New Hampshire 1st Congressional District (NH-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	New Hampshire	New Hampshire 1st Congressional District (NH-01)		People who live in the New Hampshire 1st Congressional District (NH-01)	
FDCCDNE03	$1.50	Political > US Congressional Districts > Nebraska > Nebraska 3rd Congressional District (NE-03)	Factual	Geopulse Audiences	Political	US Congressional Districts	Nebraska	Nebraska 3rd Congressional District (NE-03)		People who live in the Nebraska 3rd Congressional District (NE-03)	
FDCCDNE02	$1.50	Political > US Congressional Districts > Nebraska > Nebraska 2nd Congressional District (NE-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	Nebraska	Nebraska 2nd Congressional District (NE-02)		People who live in the Nebraska 2nd Congressional District (NE-02)	
FDCCDNE01	$1.50	Political > US Congressional Districts > Nebraska > Nebraska 1st Congressional District (NE-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	Nebraska	Nebraska 1st Congressional District (NE-01)		People who live in the Nebraska 1st Congressional District (NE-01)	
FDCCDND00	$1.50	Political > US Congressional Districts > North Dakota > North Dakota At-large Congressional District (ND-00)	Factual	Geopulse Audiences	Political	US Congressional Districts	North Dakota	North Dakota At-large Congressional District (ND-00)		People who live in the North Dakota At-large Congressional District (ND-00)	
FDCCDNC13	$1.50	Political > US Congressional Districts > North Carolina > North Carolina 13th Congressional District (NC-13)	Factual	Geopulse Audiences	Political	US Congressional Districts	North Carolina	North Carolina 13th Congressional District (NC-13)		People who live in the North Carolina 13th Congressional District (NC-13)	
FDCCDNC12	$1.50	Political > US Congressional Districts > North Carolina > North Carolina 12th Congressional District (NC-12)	Factual	Geopulse Audiences	Political	US Congressional Districts	North Carolina	North Carolina 12th Congressional District (NC-12)		People who live in the North Carolina 12th Congressional District (NC-12)	
FDCCDNC11	$1.50	Political > US Congressional Districts > North Carolina > North Carolina 11th Congressional District (NC-11)	Factual	Geopulse Audiences	Political	US Congressional Districts	North Carolina	North Carolina 11th Congressional District (NC-11)		People who live in the North Carolina 11th Congressional District (NC-11)	
FDCCDNC10	$1.50	Political > US Congressional Districts > North Carolina > North Carolina 10th Congressional District (NC-10)	Factual	Geopulse Audiences	Political	US Congressional Districts	North Carolina	North Carolina 10th Congressional District (NC-10)		People who live in the North Carolina 10th Congressional District (NC-10)	
FDCCDNC09	$1.50	Political > US Congressional Districts > North Carolina > North Carolina 9th Congressional District (NC-09)	Factual	Geopulse Audiences	Political	US Congressional Districts	North Carolina	North Carolina 9th Congressional District (NC-09)		People who live in the North Carolina 9th Congressional District (NC-09)	
FDCCDNC08	$1.50	Political > US Congressional Districts > North Carolina > North Carolina 8th Congressional District (NC-08)	Factual	Geopulse Audiences	Political	US Congressional Districts	North Carolina	North Carolina 8th Congressional District (NC-08)		People who live in the North Carolina 8th Congressional District (NC-08)	
FDCCDNC07	$1.50	Political > US Congressional Districts > North Carolina > North Carolina 7th Congressional District (NC-07)	Factual	Geopulse Audiences	Political	US Congressional Districts	North Carolina	North Carolina 7th Congressional District (NC-07)		People who live in the North Carolina 7th Congressional District (NC-07)	
FDCCDNC06	$1.50	Political > US Congressional Districts > North Carolina > North Carolina 6th Congressional District (NC-06)	Factual	Geopulse Audiences	Political	US Congressional Districts	North Carolina	North Carolina 6th Congressional District (NC-06)		People who live in the North Carolina 6th Congressional District (NC-06)	
FDCCDNC05	$1.50	Political > US Congressional Districts > North Carolina > North Carolina 5th Congressional District (NC-05)	Factual	Geopulse Audiences	Political	US Congressional Districts	North Carolina	North Carolina 5th Congressional District (NC-05)		People who live in the North Carolina 5th Congressional District (NC-05)	
FDCCDNC04	$1.50	Political > US Congressional Districts > North Carolina > North Carolina 4th Congressional District (NC-04)	Factual	Geopulse Audiences	Political	US Congressional Districts	North Carolina	North Carolina 4th Congressional District (NC-04)		People who live in the North Carolina 4th Congressional District (NC-04)	
FDCCDNC03	$1.50	Political > US Congressional Districts > North Carolina > North Carolina 3rd Congressional District (NC-03)	Factual	Geopulse Audiences	Political	US Congressional Districts	North Carolina	North Carolina 3rd Congressional District (NC-03)		People who live in the North Carolina 3rd Congressional District (NC-03)	
FDCCDNC02	$1.50	Political > US Congressional Districts > North Carolina > North Carolina 2nd Congressional District (NC-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	North Carolina	North Carolina 2nd Congressional District (NC-02)		People who live in the North Carolina 2nd Congressional District (NC-02)	
FDCCDNC01	$1.50	Political > US Congressional Districts > North Carolina > North Carolina 1st Congressional District (NC-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	North Carolina	North Carolina 1st Congressional District (NC-01)		People who live in the North Carolina 1st Congressional District (NC-01)	
FDCCDMT00	$1.50	Political > US Congressional Districts > Montana > Montana At-large Congressional District (MT-00)	Factual	Geopulse Audiences	Political	US Congressional Districts	Montana	Montana At-large Congressional District (MT-00)		People who live in the Montana At-large Congressional District (MT-00)	
FDCCDMS04	$1.50	Political > US Congressional Districts > Mississippi > Mississippi 4th Congressional District (MS-04)	Factual	Geopulse Audiences	Political	US Congressional Districts	Mississippi	Mississippi 4th Congressional District (MS-04)		People who live in the Mississippi 4th Congressional District (MS-04)	
FDCCDMS03	$1.50	Political > US Congressional Districts > Mississippi > Mississippi 3rd Congressional District (MS-03)	Factual	Geopulse Audiences	Political	US Congressional Districts	Mississippi	Mississippi 3rd Congressional District (MS-03)		People who live in the Mississippi 3rd Congressional District (MS-03)	
FDCCDMS02	$1.50	Political > US Congressional Districts > Mississippi > Mississippi 2nd Congressional District (MS-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	Mississippi	Mississippi 2nd Congressional District (MS-02)		People who live in the Mississippi 2nd Congressional District (MS-02)	
FDCCDMS01	$1.50	Political > US Congressional Districts > Mississippi > Mississippi 1st Congressional District (MS-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	Mississippi	Mississippi 1st Congressional District (MS-01)		People who live in the Mississippi 1st Congressional District (MS-01)	
FDCCDMO08	$1.50	Political > US Congressional Districts > Missouri > Missouri 8th Congressional District (MO-08)	Factual	Geopulse Audiences	Political	US Congressional Districts	Missouri	Missouri 8th Congressional District (MO-08)		People who live in the Missouri 8th Congressional District (MO-08)	
FDCCDMO07	$1.50	Political > US Congressional Districts > Missouri > Missouri 7th Congressional District (MO-07)	Factual	Geopulse Audiences	Political	US Congressional Districts	Missouri	Missouri 7th Congressional District (MO-07)		People who live in the Missouri 7th Congressional District (MO-07)	
FDCCDMO06	$1.50	Political > US Congressional Districts > Missouri > Missouri 6th Congressional District (MO-06)	Factual	Geopulse Audiences	Political	US Congressional Districts	Missouri	Missouri 6th Congressional District (MO-06)		People who live in the Missouri 6th Congressional District (MO-06)	
FDCCDMO05	$1.50	Political > US Congressional Districts > Missouri > Missouri 5th Congressional District (MO-05)	Factual	Geopulse Audiences	Political	US Congressional Districts	Missouri	Missouri 5th Congressional District (MO-05)		People who live in the Missouri 5th Congressional District (MO-05)	
FDCCDMO04	$1.50	Political > US Congressional Districts > Missouri > Missouri 4th Congressional District (MO-04)	Factual	Geopulse Audiences	Political	US Congressional Districts	Missouri	Missouri 4th Congressional District (MO-04)		People who live in the Missouri 4th Congressional District (MO-04)	
FDCCDMO03	$1.50	Political > US Congressional Districts > Missouri > Missouri 3rd Congressional District (MO-03)	Factual	Geopulse Audiences	Political	US Congressional Districts	Missouri	Missouri 3rd Congressional District (MO-03)		People who live in the Missouri 3rd Congressional District (MO-03)	
FDCCDMO02	$1.50	Political > US Congressional Districts > Missouri > Missouri 2nd Congressional District (MO-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	Missouri	Missouri 2nd Congressional District (MO-02)		People who live in the Missouri 2nd Congressional District (MO-02)	
FDCCDMO01	$1.50	Political > US Congressional Districts > Missouri > Missouri 1st Congressional District (MO-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	Missouri	Missouri 1st Congressional District (MO-01)		People who live in the Missouri 1st Congressional District (MO-01)	
FDCCDMN08	$1.50	Political > US Congressional Districts > Minnesota > Minnesota 8th Congressional District (MN-08)	Factual	Geopulse Audiences	Political	US Congressional Districts	Minnesota	Minnesota 8th Congressional District (MN-08)		People who live in the Minnesota 8th Congressional District (MN-08)	
FDCCDMN07	$1.50	Political > US Congressional Districts > Minnesota > Minnesota 7th Congressional District (MN-07)	Factual	Geopulse Audiences	Political	US Congressional Districts	Minnesota	Minnesota 7th Congressional District (MN-07)		People who live in the Minnesota 7th Congressional District (MN-07)	
FDCCDMN06	$1.50	Political > US Congressional Districts > Minnesota > Minnesota 6th Congressional District (MN-06)	Factual	Geopulse Audiences	Political	US Congressional Districts	Minnesota	Minnesota 6th Congressional District (MN-06)		People who live in the Minnesota 6th Congressional District (MN-06)	
FDCCDMN05	$1.50	Political > US Congressional Districts > Minnesota > Minnesota 5th Congressional District (MN-05)	Factual	Geopulse Audiences	Political	US Congressional Districts	Minnesota	Minnesota 5th Congressional District (MN-05)		People who live in the Minnesota 5th Congressional District (MN-05)	
FDCCDMN04	$1.50	Political > US Congressional Districts > Minnesota > Minnesota 4th Congressional District (MN-04)	Factual	Geopulse Audiences	Political	US Congressional Districts	Minnesota	Minnesota 4th Congressional District (MN-04)		People who live in the Minnesota 4th Congressional District (MN-04)	
FDCCDMN03	$1.50	Political > US Congressional Districts > Minnesota > Minnesota 3rd Congressional District (MN-03)	Factual	Geopulse Audiences	Political	US Congressional Districts	Minnesota	Minnesota 3rd Congressional District (MN-03)		People who live in the Minnesota 3rd Congressional District (MN-03)	
FDCCDMN02	$1.50	Political > US Congressional Districts > Minnesota > Minnesota 2nd Congressional District (MN-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	Minnesota	Minnesota 2nd Congressional District (MN-02)		People who live in the Minnesota 2nd Congressional District (MN-02)	
FDCCDMN01	$1.50	Political > US Congressional Districts > Minnesota > Minnesota 1st Congressional District (MN-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	Minnesota	Minnesota 1st Congressional District (MN-01)		People who live in the Minnesota 1st Congressional District (MN-01)	
FDCCDMI14	$1.50	Political > US Congressional Districts > Michigan > Michigan 14th Congressional District (MI-14)	Factual	Geopulse Audiences	Political	US Congressional Districts	Michigan	Michigan 14th Congressional District (MI-14)		People who live in the Michigan 14th Congressional District (MI-14)	
FDCCDMI13	$1.50	Political > US Congressional Districts > Michigan > Michigan 13th Congressional District (MI-13)	Factual	Geopulse Audiences	Political	US Congressional Districts	Michigan	Michigan 13th Congressional District (MI-13)		People who live in the Michigan 13th Congressional District (MI-13)	
FDCCDMI12	$1.50	Political > US Congressional Districts > Michigan > Michigan 12th Congressional District (MI-12)	Factual	Geopulse Audiences	Political	US Congressional Districts	Michigan	Michigan 12th Congressional District (MI-12)		People who live in the Michigan 12th Congressional District (MI-12)	
FDCCDMI11	$1.50	Political > US Congressional Districts > Michigan > Michigan 11th Congressional District (MI-11)	Factual	Geopulse Audiences	Political	US Congressional Districts	Michigan	Michigan 11th Congressional District (MI-11)		People who live in the Michigan 11th Congressional District (MI-11)	
FDCCDMI10	$1.50	Political > US Congressional Districts > Michigan > Michigan 10th Congressional District (MI-10)	Factual	Geopulse Audiences	Political	US Congressional Districts	Michigan	Michigan 10th Congressional District (MI-10)		People who live in the Michigan 10th Congressional District (MI-10)	
FDCCDMI09	$1.50	Political > US Congressional Districts > Michigan > Michigan 9th Congressional District (MI-09)	Factual	Geopulse Audiences	Political	US Congressional Districts	Michigan	Michigan 9th Congressional District (MI-09)		People who live in the Michigan 9th Congressional District (MI-09)	
FDCCDMI08	$1.50	Political > US Congressional Districts > Michigan > Michigan 8th Congressional District (MI-08)	Factual	Geopulse Audiences	Political	US Congressional Districts	Michigan	Michigan 8th Congressional District (MI-08)		People who live in the Michigan 8th Congressional District (MI-08)	
FDCCDMI07	$1.50	Political > US Congressional Districts > Michigan > Michigan 7th Congressional District (MI-07)	Factual	Geopulse Audiences	Political	US Congressional Districts	Michigan	Michigan 7th Congressional District (MI-07)		People who live in the Michigan 7th Congressional District (MI-07)	
FDCCDMI06	$1.50	Political > US Congressional Districts > Michigan > Michigan 6th Congressional District (MI-06)	Factual	Geopulse Audiences	Political	US Congressional Districts	Michigan	Michigan 6th Congressional District (MI-06)		People who live in the Michigan 6th Congressional District (MI-06)	
FDCCDMI05	$1.50	Political > US Congressional Districts > Michigan > Michigan 5th Congressional District (MI-05)	Factual	Geopulse Audiences	Political	US Congressional Districts	Michigan	Michigan 5th Congressional District (MI-05)		People who live in the Michigan 5th Congressional District (MI-05)	
FDCCDMI04	$1.50	Political > US Congressional Districts > Michigan > Michigan 4th Congressional District (MI-04)	Factual	Geopulse Audiences	Political	US Congressional Districts	Michigan	Michigan 4th Congressional District (MI-04)		People who live in the Michigan 4th Congressional District (MI-04)	
FDCCDMI03	$1.50	Political > US Congressional Districts > Michigan > Michigan 3rd Congressional District (MI-03)	Factual	Geopulse Audiences	Political	US Congressional Districts	Michigan	Michigan 3rd Congressional District (MI-03)		People who live in the Michigan 3rd Congressional District (MI-03)	
FDCCDMI02	$1.50	Political > US Congressional Districts > Michigan > Michigan 2nd Congressional District (MI-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	Michigan	Michigan 2nd Congressional District (MI-02)		People who live in the Michigan 2nd Congressional District (MI-02)	
FDCCDMI01	$1.50	Political > US Congressional Districts > Michigan > Michigan 1st Congressional District (MI-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	Michigan	Michigan 1st Congressional District (MI-01)		People who live in the Michigan 1st Congressional District (MI-01)	
FDCCDME02	$1.50	Political > US Congressional Districts > Maine > Maine 2nd Congressional District (ME-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	Maine	Maine 2nd Congressional District (ME-02)		People who live in the Maine 2nd Congressional District (ME-02)	
FDCCDME01	$1.50	Political > US Congressional Districts > Maine > Maine 1st Congressional District (ME-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	Maine	Maine 1st Congressional District (ME-01)		People who live in the Maine 1st Congressional District (ME-01)	
FDCCDMD08	$1.50	Political > US Congressional Districts > Maryland > Maryland 8th Congressional District (MD-08)	Factual	Geopulse Audiences	Political	US Congressional Districts	Maryland	Maryland 8th Congressional District (MD-08)		People who live in the Maryland 8th Congressional District (MD-08)	
FDCCDMD07	$1.50	Political > US Congressional Districts > Maryland > Maryland 7th Congressional District (MD-07)	Factual	Geopulse Audiences	Political	US Congressional Districts	Maryland	Maryland 7th Congressional District (MD-07)		People who live in the Maryland 7th Congressional District (MD-07)	
FDCCDMD06	$1.50	Political > US Congressional Districts > Maryland > Maryland 6th Congressional District (MD-06)	Factual	Geopulse Audiences	Political	US Congressional Districts	Maryland	Maryland 6th Congressional District (MD-06)		People who live in the Maryland 6th Congressional District (MD-06)	
FDCCDMD05	$1.50	Political > US Congressional Districts > Maryland > Maryland 5th Congressional District (MD-05)	Factual	Geopulse Audiences	Political	US Congressional Districts	Maryland	Maryland 5th Congressional District (MD-05)		People who live in the Maryland 5th Congressional District (MD-05)	
FDCCDMD04	$1.50	Political > US Congressional Districts > Maryland > Maryland 4th Congressional District (MD-04)	Factual	Geopulse Audiences	Political	US Congressional Districts	Maryland	Maryland 4th Congressional District (MD-04)		People who live in the Maryland 4th Congressional District (MD-04)	
FDCCDMD03	$1.50	Political > US Congressional Districts > Maryland > Maryland 3rd Congressional District (MD-03)	Factual	Geopulse Audiences	Political	US Congressional Districts	Maryland	Maryland 3rd Congressional District (MD-03)		People who live in the Maryland 3rd Congressional District (MD-03)	
FDCCDMD02	$1.50	Political > US Congressional Districts > Maryland > Maryland 2nd Congressional District (MD-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	Maryland	Maryland 2nd Congressional District (MD-02)		People who live in the Maryland 2nd Congressional District (MD-02)	
FDCCDMD01	$1.50	Political > US Congressional Districts > Maryland > Maryland 1st Congressional District (MD-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	Maryland	Maryland 1st Congressional District (MD-01)		People who live in the Maryland 1st Congressional District (MD-01)	
FDCCDMA09	$1.50	Political > US Congressional Districts > Massachusetts > Massachusetts 9th Congressional District (MA-09)	Factual	Geopulse Audiences	Political	US Congressional Districts	Massachusetts	Massachusetts 9th Congressional District (MA-09)		People who live in the Massachusetts 9th Congressional District (MA-09)	
FDCCDMA08	$1.50	Political > US Congressional Districts > Massachusetts > Massachusetts 8th Congressional District (MA-08)	Factual	Geopulse Audiences	Political	US Congressional Districts	Massachusetts	Massachusetts 8th Congressional District (MA-08)		People who live in the Massachusetts 8th Congressional District (MA-08)	
FDCCDMA07	$1.50	Political > US Congressional Districts > Massachusetts > Massachusetts 7th Congressional District (MA-07)	Factual	Geopulse Audiences	Political	US Congressional Districts	Massachusetts	Massachusetts 7th Congressional District (MA-07)		People who live in the Massachusetts 7th Congressional District (MA-07)	
FDCCDMA06	$1.50	Political > US Congressional Districts > Massachusetts > Massachusetts 6th Congressional District (MA-06)	Factual	Geopulse Audiences	Political	US Congressional Districts	Massachusetts	Massachusetts 6th Congressional District (MA-06)		People who live in the Massachusetts 6th Congressional District (MA-06)	
FDCCDMA05	$1.50	Political > US Congressional Districts > Massachusetts > Massachusetts 5th Congressional District (MA-05)	Factual	Geopulse Audiences	Political	US Congressional Districts	Massachusetts	Massachusetts 5th Congressional District (MA-05)		People who live in the Massachusetts 5th Congressional District (MA-05)	
FDCCDMA04	$1.50	Political > US Congressional Districts > Massachusetts > Massachusetts 4th Congressional District (MA-04)	Factual	Geopulse Audiences	Political	US Congressional Districts	Massachusetts	Massachusetts 4th Congressional District (MA-04)		People who live in the Massachusetts 4th Congressional District (MA-04)	
FDCCDMA03	$1.50	Political > US Congressional Districts > Massachusetts > Massachusetts 3rd Congressional District (MA-03)	Factual	Geopulse Audiences	Political	US Congressional Districts	Massachusetts	Massachusetts 3rd Congressional District (MA-03)		People who live in the Massachusetts 3rd Congressional District (MA-03)	
FDCCDMA02	$1.50	Political > US Congressional Districts > Massachusetts > Massachusetts 2nd Congressional District (MA-02)	Factual	Geopulse Audiences	Political	US Congressional Districts	Massachusetts	Massachusetts 2nd Congressional District (MA-02)		People who live in the Massachusetts 2nd Congressional District (MA-02)	
FDCCDMA01	$1.50	Political > US Congressional Districts > Massachusetts > Massachusetts 1st Congressional District (MA-01)	Factual	Geopulse Audiences	Political	US Congressional Districts	Massachusetts	Massachusetts 1st Congressional District (MA-01)		People who live in the Massachusetts 1st Congressional District (MA-01)	
FDCCDLA06	$1.50	Political > US Congressional Districts > Louisiana > Louisiana 6th Congressional District (LA-06)	Factual	Geopulse Audiences	Political	US Congressional Districts	Louisiana	Louisiana 6th Congressional District (LA-06)		People who live in the Louisiana 6th Congressional District (LA-06)	
FDCCDLA05	$1.50	Political > US Congressional Districts > Louisiana > Louisiana 5th Congressional District (LA-05)	Factual	Geopulse Audiences	Political	US Congressional Districts	Louisiana	Louisiana 5th Congressional District (LA-05)		People who live in the Louisiana 5th Congressional District (LA-05)	
